Code,Name,Sector,Open,High,Low,Close,SMA20,SMA50,SMA200,Shariah,Price,ADR%,Perf 5D%,Perf 1M%,Perf 3M%,EPS,P/E,Volume,Mkt Cap
5319,MKHOP,Consumer Defensive,0.625,0.63,0.625,0.625,0.6283,0.6152,0.6112,,0.625,2.56,-2.34,2.46,6.84,0.05,12.5,1002400,633953664.0
1724,PARAMON,Real Estate,1.01,1.02,1.0,1.01,1.028,1.015,1.0045,,1.01,1.37,-1.94,0.0,-0.98,0.19,5.3157897,636300,628998720.0
5084,IBRACO,Real Estate,1.15,1.15,1.15,1.15,1.1255,1.0856,1.215,,1.15,2.55,-2.54,6.48,2.68,0.13,8.846154,0,627953152.0
8877,EKOVEST,Industrials,0.205,0.21,0.2,0.21,0.22,0.2182,0.2956,,0.21,3.78,-2.33,-8.7,-6.67,-0.06,21.0,4516900,622736256.0
5075,PLENITU,Real Estate,1.63,1.63,1.63,1.63,1.627,1.571,1.7671,,1.63,1.7,-3.55,3.16,-2.4,0.31,5.2580643,67900,621900032.0
3379,INSAS,Financial Services,0.88,0.895,0.88,0.895,0.8767,0.8573,0.8512,,0.895,2.23,4.68,3.47,4.68,0.16,5.59375,549000,620672192.0
0099,SCICOM,Industrials,1.71,1.77,1.71,1.74,1.707,1.5962,1.2708,,1.74,4.14,-5.43,8.07,20.75,5.25,0.3314286,534300,618489216.0
0239,ECOMATE,Consumer Cyclical,0.855,0.86,0.85,0.86,0.8518,0.8525,0.8143,,0.86,1.17,1.18,1.18,1.18,0.0,Infinity,3570400,615804416.0
7197,GESHEN,Industrials,1.47,1.48,1.46,1.48,1.4925,1.5304,1.5876,,1.48,0.84,0.0,-3.9,-8.07,0.05,29.6,31000,615592384.0
5142,WASCO,Energy,0.8,0.81,0.785,0.795,0.99,1.0271,0.924,,0.795,4.37,-7.02,-28.38,-17.12,0.18,4.4166665,1763500,615577472.0
0146,JFTECH,Technology,0.625,0.64,0.62,0.635,0.571,0.5149,0.4954,,0.635,4.56,4.96,24.51,47.67,0.01,63.5,2900900,613952128.0
7034,TGUAN,Consumer Cyclical,1.57,1.58,1.54,1.56,1.5885,1.4574,1.2292,,1.56,3.53,0.65,-2.5,34.48,0.17,9.17647,246500,610541568.0
5015,APM,Consumer Cyclical,3.07,3.12,3.03,3.11,3.1115,3.0796,3.1102,,3.11,1.8,-0.64,3.32,-6.27,0.34,9.1470585,47300,607987264.0
5665,SSTEEL,Basic Materials,0.39,0.395,0.39,0.395,0.3995,0.3994,0.3948,,0.395,1.65,-2.47,-1.25,-1.25,-0.1,,150700,592939776.0
